Metric,Macro,Weighted
Accuracy,0.900709219858156,0.900709219858156
Precision,0.8989768093533057,0.901948599923679
Recall,0.8981393264644497,0.900709219858156
F1-Score,0.8976834828908765,0.9004785808208436
ROC-AUC,0.9926555612172262,0.99286434520164
