mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.087969970703125,0.010264249225253232,0.1452639102935791,0.009341358379520444,euclidean,3,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8136094674556213,0.8402366863905325,0.8402366863905325,0.8427299703264095,0.8338278931750742,0.8341281407476341,0.01067451389164141,40
0.08322467803955078,0.002372147478621204,0.14821257591247558,0.011598224765970977,euclidean,3,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8224852071005917,0.8520710059171598,0.863905325443787,0.8486646884272997,0.8367952522255193,0.8447842958228714,0.014105612641577324,37
0.0646939754486084,0.03202290277844791,0.07706913948059083,0.05673839247465235,euclidean,3,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8136094674556213,0.8402366863905325,0.8402366863905325,0.8427299703264095,0.8338278931750742,0.8341281407476341,0.01067451389164141,40
0.046160554885864256,0.006274489540848527,0.024591493606567382,0.005387526330133069,euclidean,3,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8224852071005917,0.8520710059171598,0.863905325443787,0.8486646884272997,0.8367952522255193,0.8447842958228714,0.014105612641577324,37
0.03867292404174805,0.0031899381986075044,0.02208261489868164,0.005635259708669575,euclidean,5,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7810650887573964,0.8047337278106509,0.8284023668639053,0.827893175074184,0.8219584569732937,0.812810563095886,0.018040420729135743,52
0.0346071720123291,0.005289515702604895,0.022588682174682618,0.003576566209043408,euclidean,5,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7928994082840237,0.8284023668639053,0.849112426035503,0.8516320474777448,0.827893175074184,0.8299878847470723,0.02105552004452212,43
0.03994383811950684,0.005054042526948835,0.02424788475036621,0.0033682223014968125,euclidean,5,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7810650887573964,0.8047337278106509,0.8284023668639053,0.827893175074184,0.8219584569732937,0.812810563095886,0.018040420729135743,52
0.042644834518432616,0.0048212708771385344,0.02945122718811035,0.004481546540529802,euclidean,5,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7928994082840237,0.8284023668639053,0.849112426035503,0.8516320474777448,0.827893175074184,0.8299878847470723,0.02105552004452212,43
0.0510002613067627,0.0116598377076429,0.02678203582763672,0.004942823253955778,euclidean,7,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.772189349112426,0.8017751479289941,0.8372781065088757,0.8189910979228486,0.7893175074183977,0.8039102417783084,0.022647596658782517,58
0.049435997009277345,0.002645593534170545,0.02803645133972168,0.004397763193388098,euclidean,7,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8017751479289941,0.8195266272189349,0.8579881656804734,0.8338278931750742,0.7863501483679525,0.8198935964742858,0.024895528042343892,49
